iter	Passed	Remaining
683	13119	6060
684	13141	6043
685	13158	6022
686	13175	6003
687	13194	5983
688	13212	5963
689	13229	5943
690	13246	5923
691	13263	5903
692	13283	5884
693	13300	5864
694	13318	5845
695	13335	5824
696	13352	5804
697	13368	5784
698	13387	5764
699	13404	5744
700	13422	5725
701	13439	5704
702	13455	5684
703	13473	5664
704	13490	5645
705	13508	5625
706	13525	5605
707	13542	5585
708	13559	5565
709	13576	5545
710	13593	5525
711	13612	5506
712	13629	5486
713	13646	5466
714	13663	5446
715	13682	5427
716	13699	5407
717	13718	5387
718	13735	5368
719	13752	5348
720	13769	5328
721	13787	5308
722	13804	5288
723	13821	5269
724	13839	5249
725	13856	5229
726	13874	5209
727	13891	5190
728	13911	5171
729	13928	5151
730	13947	5132
731	13964	5112
732	13982	5093
733	14000	5073
734	14018	5054
735	14036	5034
736	14055	5015
737	14072	4996
738	14093	4977
739	14111	4958
740	14129	4938
741	14147	4919
742	14166	4899
743	14185	4881
744	14203	4861
745	14220	4841
746	14237	4822
747	14254	4802
748	14273	4783
749	14291	4763
750	14307	4743
751	14324	4724
752	14341	4704
753	14359	4684
754	14377	4665
755	14395	4646
756	14412	4626
757	14429	4606
758	14446	4587
759	14465	4568
760	14486	4549
761	14503	4529
762	14521	4510
763	14538	4490
764	14554	4471
765	14572	4451
766	14590	4432
767	14608	4413
768	14625	4393
769	14642	4373
770	14659	4354
771	14678	4335
772	14695	4315
773	14712	4295
774	14729	4276
775	14746	4256
776	14763	4237
777	14780	4217
778	14799	4198
779	14816	4178
780	14833	4159
781	14850	4139
782	14871	4121
783	14889	4102
784	14908	4083
785	14925	4063
786	14942	4044
787	14959	4024
788	14977	4005
789	14996	3986
790	15013	3967
791	15031	3947
792	15048	3928
793	15066	3908
794	15083	3889
795	15102	3870
796	15119	3851
797	15136	3831
798	15154	3812
799	15174	3793
800	15192	3774
801	15211	3755
802	15228	3736
803	15245	3716
804	15266	3698
805	15283	3678
806	15301	3659
807	15319	3640
808	15337	3620
809	15354	3601
810	15371	3582
811	15388	3562
812	15405	3543
813	15424	3524
814	15441	3505
815	15459	3485
816	15477	3466
817	15495	3447
818	15513	3428
819	15530	3409
820	15549	3390
821	15566	3370
822	15585	3351
823	15602	3332
824	15620	3313
825	15638	3294
826	15656	3275
827	15674	3256
828	15694	3237
829	15711	3217
830	15727	3198
831	15743	3179
832	15762	3159
833	15778	3140
834	15795	3121
835	15812	3101
836	15829	3082
837	15848	3063
838	15865	3044
839	15882	3025
840	15898	3005
841	15916	2986
842	15932	2967
843	15951	2948
844	15968	2929
845	15985	2909
846	16002	2890
847	16020	2871
848	16037	2852
849	16054	2833
850	16072	2814
851	16091	2795
852	16109	2776
853	16126	2757
854	16143	2737
855	16164	2719
856	16183	2700
857	16200	2681
858	16216	2661
859	16234	2642
860	16250	2623
861	16268	2604
862	16286	2585
863	16303	2566
864	16321	2547
865	16338	2528
866	16355	2508
867	16371	2489
868	16389	2470
869	16406	2451
870	16423	2432
871	16441	2413
872	16458	2394
873	16479	2375
874	16496	2356
875	16513	2337
876	16531	2318
877	16549	2299
878	16567	2280
879	16586	2261
880	16603	2242
881	16621	2223
882	16638	2204
883	16656	2185
884	16673	2166
885	16692	2147
886	16709	2128
887	16727	2109
888	16744	2090
889	16762	2071
890	16779	2052
891	16798	2033
892	16815	2014
893	16833	1995
894	16850	1976
895	16868	1957
896	16886	1939
897	16904	1920
898	16921	1901
899	16939	1882
900	16956	1863
901	16972	1844
902	16990	1825
903	17009	1806
904	17026	1787
905	17043	1768
906	17061	1749
907	17079	1730
908	17096	1711
909	17115	1692
910	17132	1673
911	17151	1654
912	17169	1636
913	17186	1617
914	17205	1598
915	17222	1579
916	17239	1560
917	17256	1541
918	17275	1522
919	17292	1503
920	17309	1484
921	17327	1465
922	17344	1446
923	17360	1427
924	17378	1409
925	17395	1390
926	17413	1371
927	17432	1352
928	17450	1333
929	17467	1314
930	17484	1295
931	17503	1277
932	17521	1258
933	17539	1239
934	17557	1220
935	17576	1201
936	17594	1182
937	17612	1164
938	17629	1145
939	17648	1126
940	17666	1107
941	17683	1088
942	17700	1069
943	17717	1051
944	17735	1032
945	17752	1013
946	17769	994
947	17786	975
948	17803	956
949	17820	937
950	17838	919
951	17855	900
952	17872	881
953	17888	862
954	17905	843
955	17923	824
956	17941	806
957	17960	787
958	17977	768
959	17994	749
960	18012	730
961	18029	712
962	18050	693
963	18068	674
964	18086	655
965	18104	637
966	18124	618
967	18144	599
968	18164	581
969	18181	562
970	18198	543
971	18214	524
972	18231	505
973	18248	487
974	18267	468
975	18285	449
976	18304	430
977	18321	412
978	18339	393
979	18358	374
980	18376	355
981	18393	337
982	18411	318
983	18429	299
984	18446	280
985	18465	262
986	18485	243
987	18503	224
988	18521	206
989	18539	187
990	18558	168
991	18576	149
992	18595	131
993	18613	112
994	18630	93
995	18648	74
996	18667	56
997	18686	37
998	18704	18
999	18722	0
